Abathur: Role Support; RoleDetail Enabler; Lane Macro; Dmg Mixed; Rng R; WC M; Camp L; ENG N; Peel M; CC Slow; Macro H; Global Y; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Protect; Provides Macro|Vision|Save|Poke; Needs Frontline|Peel|Waveclear; Weaknesses LowSurvivability|VulnerableDive|NeedsSetup; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q Conditional H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate B.
Brightwing: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel H; CC Polymorph, Slow; Macro H; Global SG; Cleanse Y; Reveal N; Stealth N; Antiheal N; Styles Macro, Protect; Provides SustainHeal|Cleanse|Save|Peel|Disengage|Macro|Vision; Needs Frontline|Waveclear; Weaknesses WeakBurstHeal; PowerCurve Early|Mid; Contested H; ENG-Q None L; CC-Q PointClick H; SAVE-Q PointClick H; INT-Q None L; CleanseGate B; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate B.
Cassia: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC M; Camp M; ENG N; Peel L; CC Blind, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight; Provides SustainDmg|AntiDive|BlindTax|Teamfight; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|VulnerablePoke; PowerCurve Mid; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Chen: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel M; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive; Provides Offlane|Disrupt|Sustain|AntiDive|Disengage; Needs FollowUpDamage|Waveclear; Weaknesses NeedsSetup|VulnerableInterrupts; PowerCurve Mid; Contested M; ENG-Q Conditional M; CC-Q Skillshot M; SAVE-Q Self H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Cho: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel M; CC Stun, Slow, Displace; Macro L; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Wombo, Teamfight; Provides Frontline|Engage|SetupCC|Disrupt; Needs Gall|SustainHeal|Waveclear; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Mid|Spike10; Contested L; ENG-Q Skillshot H; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Chromie: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel L; CC Slow, Stun; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Pick; Provides Poke|Burst|Pick|Zone; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|LowSurvivability|VulnerableDive; PowerCurve Mid|Late|Spike18; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Deathwing: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Spell; Rng M; WC H; Camp M; ENG S; Peel L; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight; Provides Frontline|Waveclear|Zone|Disrupt|Siege; Needs SustainHeal|FollowUpDamage; Weaknesses LowMobility|VulnerableKite|VulnerablePoke; PowerCurve Mid|Late; Contested M; ENG-Q Conditional M; CC-Q TargetArea M; SAVE-Q Self H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Deckard Cain: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel H; CC Root, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Protect; Provides SustainHeal|Peel|Disengage|Zone|SetupCC; Needs Frontline|Waveclear; Weaknesses LowMobility|VulnerableDive; PowerCurve Mid; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q TargetArea M; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Dehaka: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel M; CC Stun, Silence, Displace, Slow; Macro H; Global Y; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Pick; Provides Offlane|Macro|Global|Pick|Interrupt|SetupCC; Needs FollowUpDamage|SustainHeal; Weaknesses VulnerablePoke|NeedsSetup; PowerCurve Mid; Contested M; ENG-Q Conditional M; CC-Q Skillshot M; SAVE-Q Self M; INT-Q Skillshot H; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate B.
Diablo: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel H; CC Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Dive; Provides Frontline|Engage|Pick|Peel|SetupCC|Disrupt; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke; PowerCurve Early|Mid|Spike10; Contested H; ENG-Q Conditional H; CC-Q Conditional H; SAVE-Q None L; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
D.Va: Role Bruiser; RoleDetail Offlane; Lane Flex; Dmg AA; Rng R; WC M; Camp H; ENG S; Peel M; CC Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Macro; Provides Offlane|CampClear|Disrupt|Peel|DiveEnable; Needs SetupCC|FollowUpDamage|SustainHeal; Weaknesses VulnerableCCChain|NeedsSetup; PowerCurve Mid; Contested M; ENG-Q Conditional M; CC-Q Skillshot M; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
E.T.C.: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel M; CC Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Engage, Wombo; Provides Frontline|Engage|SetupCC|Disengage|Wombo; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke; PowerCurve Mid|Spike10; Contested M; ENG-Q Skillshot H; CC-Q Skillshot H; SAVE-Q None L; INT-Q Skillshot H; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Falstad: Role Ranged; RoleDetail RangedDPS; Lane Flex; Dmg Mixed; Rng R; WC M; Camp M; ENG S; Peel L; CC Slow, Displace; Macro H; Global Y; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Poke; Provides Macro|Global|Poke|Burst|Disengage|Vision; Needs Frontline|SetupCC|Peel; Weaknesses LowSurvivability|VulnerableDive; PowerCurve Early|Mid|Spike10; Contested H; ENG-Q Conditional M; CC-Q TargetArea H; SAVE-Q None L; INT-Q TargetArea M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate H10; EngageGate B; GlobalGate B.
Fenix: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC M; Camp M; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Teamfight; Provides SustainDmg|Poke|Siege|Teamfight; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|VulnerableDive; PowerCurve Mid|Late; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Gall: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel L; CC Slow; Macro L; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Wombo; Provides Burst|Wombo|Poke|FollowUp; Needs Cho|Frontline|Peel|SetupCC; Weaknesses LowMobility|LowSurvivability|NeedsSetup; PowerCurve Mid|Late|Spike10; Contested L; ENG-Q None L; CC-Q TargetArea L; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Garrosh: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Mixed; Rng M; WC L; Camp L; ENG H; Peel H; CC Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Anti dive; Provides Frontline|Engage|Pick|Peel|SetupCC|AntiDive; Needs FollowUpDamage|Waveclear; Weaknesses VulnerablePoke|NeedsSetup; PowerCurve Early|Mid; Contested H; ENG-Q Conditional H; CC-Q Conditional H; SAVE-Q Conditional M; INT-Q Conditional M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Gazlowe: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC H; Camp H; ENG S; Peel M; CC Stun, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Macro; Provides Waveclear|CampClear|Zone|SetupCC|Wombo|Siege; Needs Frontline|SustainHeal|FollowUp; Weaknesses LowMobility|NeedsSetup|WeakEarly; PowerCurve Mid|Spike10|Spike16; Contested M; ENG-Q Skillshot M; CC-Q TargetArea M; SAVE-Q None L; INT-Q TargetArea M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Genji: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R; WC L; Camp L; ENG H; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Pick; Provides DiveEnable|Burst|FollowUp|Mobility|Pick; Needs SetupCC|Frontline|HealerPocket|Disengage; Weaknesses LowWaveclear|VulnerableCCChain|NeedsSetup; PowerCurve Mid|Spike10; Contested M; ENG-Q Conditional H; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Greymane: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg AA; Rng R and M; WC M; Camp H; ENG S; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Burst; Provides Burst|SustainDmg|CampClear|Siege|FollowUp; Needs Frontline|Peel|SetupCC|Disengage; Weaknesses VulnerableBlinds|VulnerableDive|NeedsSetup; PowerCurve Early|Mid; Contested M; ENG-Q Conditional M; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Gul’dan: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel L; CC Fear, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Poke; Provides Waveclear|SustainDmg|Poke|Teamfight|Disengage; Needs Frontline|Peel|SetupCC; Weaknesses LowMobility|VulnerableDive|VulnerableInterrupts; PowerCurve Mid|Late|Spike10; Contested M; ENG-Q None L; CC-Q TargetArea H; SAVE-Q Self M; INT-Q TargetArea M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate H10; EngageGate N; GlobalGate N.
Hanzo: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Mixed; Rng R; WC M; Camp M; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal Y; Stealth N; Antiheal N; Styles Poke, Pick; Provides Poke|Burst|Pick|Vision|Siege|FollowUp; Needs Frontline|Peel|SetupCC; Weaknesses LowSurvivability|VulnerableDive|NeedsSetup; PowerCurve Mid|Late; Contested H; ENG-Q None L; CC-Q Skillshot L; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate B; InterruptGate N; EngageGate N; GlobalGate N.
Hogger: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC H; Camp H; ENG S; Peel M; CC Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Macro; Provides Offlane|Waveclear|CampClear|Disrupt|SetupCC|AntiDive; Needs SustainHeal|FollowUpDamage; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Early|Mid; Contested H; ENG-Q Conditional M; CC-Q TargetArea M; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Illidan: Role Melee; RoleDetail FlexDPS; Lane Flex; Dmg AA; Rng M; WC M; Camp H; ENG H; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Protect; Provides DiveEnable|SustainDmg|CampClear|FollowUp; Needs HealerPocket|DiveEnable|SetupCC|Disengage; Weaknesses VulnerableCCChain|VulnerableBlinds|NeedsSetup|WeakEarly; PowerCurve Mid|Late|Spike10; Contested M; ENG-Q Conditional H; CC-Q TargetArea L; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Imperius: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC L; Camp M; ENG H; Peel M; CC Stun, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Teamfight; Provides Frontline|Engage|Pick|SetupCC|Burst|AntiDive; Needs Waveclear|SustainHeal|FollowUpDamage; Weaknesses LowMobility|VulnerablePoke|NeedsSetup; PowerCurve Early|Mid; Contested M; ENG-Q Skillshot M; CC-Q Skillshot M; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Jaina: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel M; CC Root, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Wombo, Teamfight; Provides Burst|Waveclear|Wombo|SetupCC|FollowUp; Needs Frontline|Engage|Peel; Weaknesses LowMobility|LowSurvivability|VulnerableDive; PowerCurve Mid|Spike10|Spike16; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Johanna: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Spell; Rng M; WC H; Camp M; ENG S; Peel H; CC Blind, Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Protect; Provides Frontline|Peel|Waveclear|AntiDive|Disengage|BlindTax; Needs FollowUpDamage; Weaknesses LowMobility|VulnerablePoke; PowerCurve Early|Mid; Contested H; ENG-Q Conditional M; CC-Q TargetArea M; SAVE-Q Self H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Junkrat: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel M; CC Displace, Root, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Zone; Provides Waveclear|Poke|Zone|Disengage|SetupCC|Siege; Needs Frontline|Peel; Weaknesses LowMobility|LowSurvivability|VulnerableDive; PowerCurve Mid; Contested H; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Kael’thas: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC H; Camp M; ENG N; Peel L; CC Stun, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Wombo, Teamfight; Provides Burst|Waveclear|Wombo|SetupCC|Poke; Needs Frontline|Peel|Disengage; Weaknesses LowMobility|LowSurvivability|VulnerableDive; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Kel’Thuzad: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel L; CC Root, Stun; Macro L; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Wombo; Provides Burst|Pick|Wombo|SetupCC|FollowUp; Needs Frontline|Peel|TimeToScale|SetupCC; Weaknesses LowMobility|LowSurvivability|NeedsSetup|WeakEarly|VulnerableDive; PowerCurve Late|Scaling|Spike10|Spike16; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Kerrigan: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG H; Peel L; CC Stun, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Wombo; Provides Engage|Burst|Wombo|SetupCC|FollowUp; Needs Frontline|HealerPocket|FollowUpDamage; Weaknesses VulnerableCCChain|NeedsSetup|WeakEarly; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q Conditional H; CC-Q Conditional H; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Kharazim: Role Healer; RoleDetail SupportHealer; Lane 4man; Dmg AA; Rng M; WC M; Camp M; ENG S; Peel M; CC Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Dive, Protect; Provides SustainHeal|DiveEnable|Disengage|FollowUp|CampClear; Needs Frontline|SetupCC; Weaknesses NeedsSetup|VulnerablePoke; PowerCurve Early|Mid|Spike10; Contested M; ENG-Q Conditional M; CC-Q TargetArea L; SAVE-Q PointClick M; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Leoric: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel M; CC Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight, Macro; Provides Offlane|Macro|SustainDmg|AntiTank|Zone|Disrupt; Needs FollowUpDamage|Engage; Weaknesses LowBurst|VulnerableKite; PowerCurve Mid|Late; Contested M; ENG-Q Conditional M; CC-Q TargetArea M; SAVE-Q Self M; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Li Li: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel M; CC Blind, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Protect; Provides SustainHeal|AntiDive|BlindTax|Disengage; Needs Frontline|Waveclear; Weaknesses WeakBurstHeal|VulnerableCCChain; PowerCurve Early|Mid; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q Conditional M; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Li-Ming: Role Ranged; RoleDetail RangedDPS; Lane 4man; Dmg Spell; Rng R; WC M; Camp L; ENG N; Peel L; CC Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Poke, Burst; Provides Burst|Poke|FollowUp|Siege; Needs Frontline|SetupCC|Peel; Weaknesses LowSurvivability|VulnerableDive|NeedsSetup; PowerCurve Mid|Spike16; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q Self L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Lt. Morales: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel M; CC Displace, Slow; Macro M; Global N; Cleanse Y; Reveal N; Stealth N; Antiheal N; Styles Protect; Provides SustainHeal|Save|Peel|Cleanse|Siege; Needs Frontline|Peel|Disengage; Weaknesses LowMobility|VulnerableDive|VulnerableInterrupts; PowerCurve Early|Mid; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q PointClick H; INT-Q None L; CleanseGate B; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
